Incident,Sequence,Relevance,Support,Max Relevance,Min Relevance
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.302127659574468,1.0,4.302127659574468,1.075531914893617
16,"[(2744, 'DC'), (2970, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.283898305084746,1.0,4.283898305084746,1.0709745762711864
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3658, 'DC')]",4.265822784810127,1.0,4.265822784810127,1.0664556962025318
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]",4.2478991596638656,1.0,4.2478991596638656,1.0619747899159664
16,"[(2744, 'DC'), (2970, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3658, 'DC')]",4.2478991596638656,1.0,4.2478991596638656,1.0619747899159664
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.2478991596638656,1.0,4.2478991596638656,1.0619747899159664
16,"[(2744, 'DC'), (2970, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]",4.2301255230125525,1.0,4.2301255230125525,1.0575313807531381
16,"[(2744, 'DC'), (2970, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.2301255230125525,1.0,4.2301255230125525,1.0575313807531381
16,"[(2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.2301255230125525,1.0,4.2301255230125525,1.0575313807531381
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.2124999999999995,0.9999999999999999,4.2124999999999995,1.0531249999999999
16,"[(2970, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.2124999999999995,0.9999999999999999,4.2124999999999995,1.0531249999999999
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3658, 'DC')]",4.2124999999999995,0.9999999999999999,4.2124999999999995,1.0531249999999999
16,"[(2744, 'DC'), (2970, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3658, 'DC')]",4.195020746887967,1.0,4.195020746887967,1.0487551867219918
16,"[(2744, 'DC'), (2970, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.195020746887967,1.0,4.195020746887967,1.0487551867219918
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]",4.195020746887967,1.0,4.195020746887967,1.0487551867219918
16,"[(2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3658, 'DC')]",4.195020746887967,1.0,4.195020746887967,1.0487551867219918
16,"[(2744, 'DC'), (2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (3658, 'DC')]",4.177685950413223,1.0,4.177685950413223,1.0444214876033058
16,"[(2970, 'DC'), (2708, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]",4.177685950413223,1.0,4.177685950413223,1.0444214876033058
16,"[(2970, 'DC'), (4092, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3658, 'DC')]",4.177685950413223,1.0,4.177685950413223,1.0444214876033058
16,"[(2970, 'DC'), (2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (3658, 'DC')]",4.177685950413223,1.0,4.177685950413223,1.0444214876033058
